"client_id","age","region","prefere_produit_local"
161,52,"Urban - High Density",FALSE
162,72,"Rural",TRUE
163,35,"Urban - Medium Density",TRUE
164,50,"Urban - Medium Density",FALSE
165,48,"Urban - High Density",FALSE
166,19,"Urban - High Density",FALSE
167,20,"Urban - High Density",TRUE
168,40,"Urban - Medium Density",TRUE
169,23,"Urban - High Density",FALSE
170,70,"Urban - High Density",TRUE
171,60,"Urban - Medium Density",FALSE
172,33,"Urban - High Density",FALSE
173,57,"Urban - High Density",FALSE
174,46,"Urban - High Density",TRUE
175,21,"Rural",TRUE
176,76,"Rural",FALSE
177,63,"Urban - High Density",TRUE
178,32,"Urban - Medium Density",FALSE
179,60,"Urban - High Density",FALSE
180,78,"Urban - Medium Density",TRUE
181,68,"Urban - High Density",FALSE
182,68,"Rural",TRUE
183,78,"Urban - High Density",FALSE
184,32,"Urban - High Density",FALSE
185,120,"Urban - High Density",FALSE
186,64,"Urban - High Density",NA
187,120,"Urban - Medium Density",FALSE
188,28,"Urban - High Density",FALSE
189,39,"Urban - High Density",FALSE
190,64,"Urban - High Density",TRUE
191,120,"Urban - High Density",TRUE
192,52,"",TRUE
193,78,"Urban - High Density",FALSE
194,28,"Rural",FALSE
195,57,"Urban - High Density",TRUE
196,76,"Urban - High Density",FALSE
197,53,"Urban - High Density",FALSE
198,79,"Urban - Medium Density",FALSE
199,51,"Urban - High Density",TRUE
200,50,"Urban - High Density",TRUE
201,63,"Urban - High Density",FALSE
202,38,"Urban - High Density",NA
203,24,"Rural",TRUE
204,76,"Urban - Medium Density",TRUE
205,54,"Urban - Medium Density",TRUE
206,46,"Rural",TRUE
207,51,"Urban - High Density",TRUE
208,37,"Urban - High Density",FALSE
209,59,"Urban - High Density",TRUE
210,56,"Urban - High Density",TRUE
211,58,"Urban - High Density",TRUE
212,54,"Urban - Medium Density",FALSE
213,52,"Urban - High Density",FALSE
214,48,"Urban - Medium Density",TRUE
215,27,"Urban - High Density",TRUE
216,36,"Urban - Medium Density",FALSE
217,50,"Urban - High Density",TRUE
218,45,"Urban - High Density",TRUE
219,65,"Urban - Medium Density",FALSE
220,62,"Rural",TRUE
221,57,"Urban - Medium Density",NA
222,55,"Urban - Medium Density",FALSE
223,57,"Urban - High Density",FALSE
224,41,"Urban - High Density",FALSE
225,28,"Urban - Medium Density",TRUE
226,35,"Urban - Medium Density",TRUE
227,35,"Urban - Medium Density",FALSE
228,56,"Urban - Medium Density",TRUE
229,23,"Urban - High Density",TRUE
230,54,"Rural",FALSE
231,78,"Urban - Medium Density",TRUE
232,26,"Urban - High Density",NA
233,120,"Urban - High Density",FALSE
234,34,"Rural",FALSE
235,28,"Urban - High Density",TRUE
236,46,"Urban - Medium Density",NA
237,45,"Urban - High Density",TRUE
238,37,"Urban - Medium Density",NA
239,31,"Urban - Medium Density",TRUE
240,51,"Urban - High Density",FALSE
241,65,"Urban - Medium Density",FALSE
242,48,"Urban - High Density",FALSE
243,43,"Urban - High Density",FALSE
244,64,"Urban - High Density",TRUE
245,27,"Urban - High Density",TRUE
246,68,"Urban - High Density",FALSE
247,43,"Urban - High Density",TRUE
248,65,"Urban - High Density",FALSE
249,62,"Urban - Medium Density",FALSE
250,66,"Urban - High Density",NA
251,21,"Rural",FALSE
252,30,"Urban - High Density",TRUE
253,34,"Urban - High Density",TRUE
254,74,"Urban - Medium Density",FALSE
255,18,"Urban - High Density",TRUE
256,48,"Rural",FALSE
257,63,"Urban - Medium Density",TRUE
258,60,"Urban - High Density",FALSE
259,25,"Urban - High Density",TRUE
260,57,"Urban - High Density",TRUE
261,39,"Urban - Medium Density",TRUE
262,33,"Urban - High Density",TRUE
263,74,"Urban - High Density",TRUE
264,24,"Rural",TRUE
265,68,"Urban - High Density",FALSE
266,26,"Urban - High Density",TRUE
267,23,"Urban - Medium Density",FALSE
268,20,"Urban - High Density",FALSE
269,44,"Rural",TRUE
270,65,"Urban - High Density",TRUE
271,41,"Rural",FALSE
272,26,"Rural",TRUE
273,21,"Rural",FALSE
274,71,"Urban - High Density",FALSE
275,42,"Urban - High Density",TRUE
276,43,"Rural",TRUE
277,55,"Urban - High Density",TRUE
278,21,"Rural",TRUE
279,51,"Urban - Medium Density",TRUE
280,70,"Urban - Medium Density",TRUE
281,63,"Urban - Medium Density",TRUE
282,25,"Urban - High Density",TRUE
283,40,"Urban - High Density",TRUE
284,53,"Urban - High Density",TRUE
285,40,"Urban - High Density",FALSE
286,19,"Urban - Medium Density",TRUE
287,67,"Urban - High Density",TRUE
288,37,"Rural",TRUE
289,39,"Rural",TRUE
290,54,"Urban - High Density",TRUE
291,62,"Urban - High Density",TRUE
292,75,"Rural",TRUE
293,78,"Urban - High Density",TRUE
294,52,"Rural",TRUE
295,61,"Urban - Medium Density",TRUE
296,69,"Urban - High Density",FALSE
297,62,"Urban - High Density",TRUE
298,31,"Urban - High Density",TRUE
299,34,"Urban - Medium Density",TRUE
300,46,"Urban - High Density",TRUE
301,52,"Urban - High Density",TRUE
302,63,"Urban - High Density",FALSE
303,75,"Rural",TRUE
304,77,"Urban - Medium Density",FALSE
305,24,"Urban - High Density",TRUE
306,26,"Urban - Medium Density",TRUE
307,58,"Urban - High Density",FALSE
308,45,"Urban - Medium Density",TRUE
309,76,"Urban - High Density",TRUE
310,70,"Urban - Medium Density",TRUE
311,76,"Urban - Medium Density",TRUE
312,49,"Urban - Medium Density",TRUE
313,72,"Urban - High Density",NA
314,53,"Urban - High Density",TRUE
315,78,"Urban - High Density",FALSE
316,61,"Urban - High Density",FALSE
317,33,"Urban - Medium Density",TRUE
318,120,"Urban - High Density",TRUE
319,36,"Urban - High Density",TRUE
320,72,"Urban - Medium Density",TRUE
321,74,"Urban - High Density",FALSE
322,52,"Urban - Medium Density",NA
323,70,"Urban - Medium Density",TRUE
324,21,"",TRUE
325,55,"Rural",TRUE
326,21,"Unknown",TRUE
327,43,"Urban - Medium Density",TRUE
328,47,"Urban - Medium Density",TRUE
329,64,"Unknown",TRUE
330,80,"Urban - High Density",TRUE
331,62,"Urban - Medium Density",TRUE
332,35,"Urban - High Density",TRUE
333,120,"Urban - High Density",TRUE
334,77,"Urban - Medium Density",TRUE
335,78,"Urban - High Density",FALSE
336,77,"Urban - High Density",FALSE
337,25,"Urban - High Density",TRUE
338,74,"Rural",FALSE
339,64,"Urban - High Density",TRUE
340,22,"Urban - Medium Density",TRUE
341,76,"Urban - Medium Density",FALSE
342,53,"Urban - High Density",TRUE
343,51,"Urban - High Density",FALSE
344,38,"Urban - High Density",FALSE
345,49,"Urban - Medium Density",TRUE
346,19,"Urban - Medium Density",FALSE
347,69,"Urban - High Density",FALSE
348,44,"Urban - High Density",FALSE
349,73,"Urban - High Density",TRUE
350,71,"Urban - Medium Density",FALSE
351,66,"Urban - Medium Density",TRUE
352,65,"Urban - High Density",TRUE
353,63,"Urban - High Density",TRUE
354,18,"Rural",FALSE
355,48,"Urban - Medium Density",TRUE
356,49,"Urban - Medium Density",TRUE
357,79,"Urban - High Density",TRUE
358,55,"Urban - High Density",TRUE
359,73,"Urban - Medium Density",FALSE
360,35,"Urban - High Density",NA
361,40,"Urban - High Density",TRUE
362,55,"Urban - High Density",TRUE
363,76,"Urban - High Density",TRUE
364,37,"Rural",FALSE
365,71,"Urban - High Density",TRUE
366,48,"Urban - High Density",TRUE
367,79,"Urban - High Density",TRUE
368,68,"Urban - Medium Density",TRUE
369,46,"Urban - High Density",FALSE
370,61,"Urban - Medium Density",FALSE
371,39,"Urban - High Density",TRUE
372,75,"Urban - High Density",TRUE
373,45,"Urban - High Density",TRUE
374,38,"Urban - High Density",FALSE
375,32,"Urban - High Density",TRUE
376,74,"",NA
377,72,"Urban - Medium Density",FALSE
378,58,"Urban - High Density",TRUE
379,38,"Rural",FALSE
380,60,"Urban - High Density",FALSE
381,23,"Urban - Medium Density",NA
382,51,"Rural",TRUE
383,54,"Rural",FALSE
384,48,"Urban - High Density",NA
385,53,"Urban - High Density",FALSE
386,43,"Urban - Medium Density",FALSE
387,68,"Urban - High Density",NA
388,25,"Rural",TRUE
389,56,"Rural",TRUE
390,23,"Urban - Medium Density",TRUE
391,5,"Urban - Medium Density",TRUE
392,27,"Rural",TRUE
393,56,"Urban - High Density",FALSE
394,23,"Urban - High Density",TRUE
395,72,"Urban - High Density",TRUE
396,67,"Rural",FALSE
397,55,"Rural",TRUE
398,120,"Rural",TRUE
399,80,"Urban - High Density",NA
400,22,"Urban - High Density",TRUE
401,44,"Urban - Medium Density",TRUE
402,35,"Urban - Medium Density",TRUE
403,22,"Urban - Medium Density",TRUE
404,60,"Urban - High Density",FALSE
405,40,"Urban - High Density",TRUE
406,28,"Urban - High Density",TRUE
407,25,"Urban - High Density",FALSE
408,56,"Urban - Medium Density",TRUE
409,27,"Urban - Medium Density",FALSE
410,23,"Urban - High Density",FALSE
411,30,"Urban - Medium Density",TRUE
412,64,"Urban - Medium Density",TRUE
413,54,"Rural",TRUE
414,50,"Rural",TRUE
415,21,"Urban - High Density",FALSE
416,19,"Urban - Medium Density",TRUE
417,63,"Urban - High Density",TRUE
418,23,"Urban - High Density",TRUE
419,68,"Urban - Medium Density",TRUE
420,68,"Rural",FALSE
421,29,"Urban - Medium Density",TRUE
422,43,"Urban - Medium Density",TRUE
423,21,"",TRUE
424,24,"",TRUE
425,48,"Urban - High Density",TRUE
426,61,"Urban - High Density",FALSE
427,79,"Urban - High Density",TRUE
428,34,"Urban - Medium Density",TRUE
429,5,"Rural",FALSE
430,67,"Urban - Medium Density",TRUE
431,20,"Rural",TRUE
432,34,"Urban - Medium Density",TRUE
433,50,"Urban - High Density",FALSE
434,48,"Urban - High Density",TRUE
435,76,"Urban - Medium Density",TRUE
436,38,"Urban - High Density",TRUE
437,56,"Urban - High Density",NA
438,78,"Rural",FALSE
439,64,"Urban - High Density",TRUE
440,79,"Urban - High Density",TRUE
441,120,"Urban - Medium Density",FALSE
442,33,"Urban - Medium Density",FALSE
443,19,"Urban - Medium Density",FALSE
444,80,"Urban - Medium Density",FALSE
445,26,"Urban - Medium Density",FALSE
446,72,"Urban - Medium Density",TRUE
447,71,"Urban - High Density",FALSE
448,30,"",TRUE
449,67,"Unknown",NA
450,76,"Urban - High Density",NA
451,51,"Urban - Medium Density",FALSE
452,18,"Urban - High Density",TRUE
453,22,"Urban - High Density",FALSE
454,68,"Urban - High Density",TRUE
455,39,"Urban - Medium Density",NA
456,26,"Urban - High Density",FALSE
457,20,"Urban - High Density",FALSE
458,47,"Urban - Medium Density",FALSE
459,26,"Urban - High Density",FALSE
460,75,"Urban - High Density",TRUE
461,46,"Rural",FALSE
462,60,"Urban - Medium Density",TRUE
463,74,"Urban - High Density",FALSE
464,39,"Urban - High Density",TRUE
465,50,"Rural",FALSE
466,25,"Urban - Medium Density",FALSE
467,79,"Urban - High Density",TRUE
468,59,"Urban - High Density",FALSE
469,57,"Urban - High Density",TRUE
470,47,"Urban - High Density",FALSE
471,54,"Urban - High Density",TRUE
472,22,"Urban - Medium Density",FALSE
473,53,"Urban - Medium Density",TRUE
474,32,"Urban - High Density",TRUE
475,48,"Rural",NA
476,120,"Urban - Medium Density",NA
477,74,"Urban - High Density",TRUE
478,62,"Urban - Medium Density",FALSE
479,24,"Urban - Medium Density",TRUE
480,38,"Urban - High Density",NA
481,40,"Urban - High Density",FALSE
482,30,"Urban - High Density",TRUE
483,36,"Urban - High Density",TRUE
484,63,"Urban - Medium Density",TRUE
485,58,"Urban - High Density",FALSE
486,71,"Urban - High Density",FALSE
487,19,"Rural",TRUE
488,71,"Rural",FALSE
489,65,"Rural",TRUE
490,26,"Urban - Medium Density",FALSE
491,75,"Urban - Medium Density",TRUE
492,73,"Urban - Medium Density",TRUE
493,55,"Rural",TRUE
494,28,"Urban - Medium Density",TRUE
495,23,"Urban - High Density",TRUE
496,120,"Urban - High Density",FALSE
497,21,"Urban - Medium Density",TRUE
498,32,"Urban - High Density",TRUE
499,47,"Urban - Medium Density",FALSE
500,32,"Urban - High Density",FALSE
501,70,"Urban - High Density",TRUE
502,34,"Urban - High Density",FALSE
503,30,"Urban - High Density",TRUE
504,61,"Urban - High Density",TRUE
505,29,"Urban - Medium Density",TRUE
506,42,"Rural",TRUE
507,48,"Urban - Medium Density",FALSE
508,65,"Urban - High Density",NA
509,33,"Urban - High Density",TRUE
510,35,"Urban - Medium Density",FALSE
511,57,"Urban - High Density",TRUE
512,68,"Urban - Medium Density",NA
513,78,"Urban - High Density",NA
514,46,"Urban - High Density",FALSE
515,70,"Urban - Medium Density",FALSE
516,33,"Urban - High Density",TRUE
517,59,"Urban - High Density",FALSE
518,36,"Urban - High Density",FALSE
519,44,"Urban - Medium Density",TRUE
520,51,"Urban - Medium Density",TRUE
521,38,"Urban - High Density",FALSE
522,57,"Urban - High Density",TRUE
523,77,"Urban - High Density",FALSE
524,79,"Urban - High Density",FALSE
525,66,"Urban - High Density",TRUE
526,33,"Urban - Medium Density",TRUE
527,25,"Urban - High Density",FALSE
528,120,"Urban - High Density",TRUE
529,58,"Urban - High Density",FALSE
530,20,"Urban - High Density",FALSE
531,42,"Urban - Medium Density",TRUE
532,38,"Urban - Medium Density",TRUE
533,18,"Rural",NA
534,30,"Urban - High Density",FALSE
535,73,"Urban - High Density",FALSE
536,22,"Urban - Medium Density",TRUE
537,49,"Urban - High Density",FALSE
538,46,"Urban - High Density",TRUE
539,33,"Urban - High Density",TRUE
540,61,"Urban - High Density",FALSE
541,24,"Urban - Medium Density",TRUE
542,32,"Urban - Medium Density",TRUE
543,22,"Urban - High Density",TRUE
544,23,"Rural",FALSE
545,80,"Urban - High Density",FALSE
546,24,"Urban - Medium Density",TRUE
547,40,"Urban - High Density",FALSE
548,120,"Urban - High Density",TRUE
549,26,"Urban - High Density",TRUE
550,55,"Rural",FALSE
551,35,"Urban - Medium Density",TRUE
552,26,"Urban - High Density",FALSE
553,33,"Urban - Medium Density",TRUE
554,69,"Urban - Medium Density",TRUE
555,29,"Urban - Medium Density",NA
556,54,"Rural",FALSE
557,38,"Urban - High Density",TRUE
558,55,"Urban - High Density",FALSE
559,48,"Urban - High Density",TRUE
560,52,"Urban - High Density",FALSE
561,75,"Urban - Medium Density",TRUE
562,44,"Urban - Medium Density",TRUE
563,40,"Urban - High Density",TRUE
564,57,"Urban - High Density",FALSE
565,41,"Urban - High Density",TRUE
566,59,"Urban - High Density",FALSE
567,23,"Rural",TRUE
568,31,"Urban - Medium Density",TRUE
569,54,"Urban - High Density",TRUE
570,80,"Urban - Medium Density",TRUE
571,73,"Rural",TRUE
572,71,"Urban - High Density",FALSE
573,58,"Urban - High Density",TRUE
574,71,"Urban - Medium Density",FALSE
575,37,"Urban - High Density",FALSE
576,32,"Urban - High Density",FALSE
577,29,"Urban - High Density",TRUE
578,79,"Urban - High Density",FALSE
579,39,"Urban - Medium Density",TRUE
580,23,"Urban - Medium Density",TRUE
581,35,"Urban - High Density",TRUE
582,65,"Urban - High Density",TRUE
583,32,"Urban - High Density",TRUE
584,24,"Urban - High Density",TRUE
585,50,"Urban - High Density",TRUE
586,78,"Urban - High Density",TRUE
587,72,"Urban - High Density",TRUE
588,31,"Rural",TRUE
589,67,"Urban - High Density",TRUE
590,50,"Unknown",FALSE
591,69,"Urban - Medium Density",TRUE
592,41,"Rural",FALSE
593,28,"Urban - High Density",NA
594,51,"Rural",FALSE
595,62,"Urban - Medium Density",NA
596,40,"Urban - High Density",FALSE
597,43,"Urban - Medium Density",NA
598,44,"Rural",TRUE
599,59,"Urban - Medium Density",FALSE
600,69,"Urban - Medium Density",FALSE
601,40,"Urban - Medium Density",TRUE
602,44,"Urban - High Density",FALSE
603,35,"Urban - High Density",TRUE
604,28,"Urban - High Density",TRUE
605,50,"Urban - Medium Density",TRUE
606,70,"Unknown",FALSE
607,20,"Rural",TRUE
608,71,"Urban - Medium Density",TRUE
609,59,"Urban - High Density",FALSE
610,53,"Urban - Medium Density",TRUE
611,39,"Urban - Medium Density",FALSE
612,63,"Rural",FALSE
613,30,"Urban - Medium Density",FALSE
614,80,"Urban - High Density",TRUE
615,69,"Urban - Medium Density",TRUE
616,25,"Rural",TRUE
617,57,"Urban - High Density",TRUE
618,56,"Urban - High Density",FALSE
619,40,"Urban - High Density",FALSE
620,67,"Urban - High Density",TRUE
621,52,"Urban - Medium Density",TRUE
622,42,"Urban - Medium Density",TRUE
623,50,"Urban - Medium Density",TRUE
624,49,"Rural",FALSE
625,78,"Urban - High Density",NA
626,64,"Urban - High Density",TRUE
627,50,"Urban - Medium Density",FALSE
628,44,"Urban - High Density",NA
629,60,"Urban - Medium Density",TRUE
630,49,"Urban - Medium Density",FALSE
631,62,"Urban - High Density",TRUE
632,5,"Urban - High Density",FALSE
633,25,"Rural",TRUE
634,56,"Urban - High Density",TRUE
635,56,"",FALSE
636,54,"Urban - Medium Density",FALSE
637,21,"Rural",FALSE
638,47,"Urban - Medium Density",TRUE
639,76,"Urban - High Density",FALSE
640,31,"Urban - High Density",FALSE
641,120,"Urban - High Density",FALSE
642,49,"Rural",NA
643,45,"Urban - Medium Density",TRUE
644,43,"Urban - High Density",FALSE
645,73,"Rural",TRUE
646,45,"Urban - Medium Density",TRUE
647,54,"Urban - Medium Density",TRUE
648,61,"Urban - Medium Density",TRUE
649,74,"Urban - High Density",FALSE
650,63,"Rural",TRUE
651,25,"Urban - High Density",TRUE
652,43,"Rural",TRUE
653,5,"Urban - Medium Density",FALSE
654,59,"Urban - Medium Density",TRUE
655,64,"Urban - Medium Density",TRUE
656,48,"Urban - High Density",TRUE
657,51,"Rural",TRUE
658,28,"Rural",FALSE
659,61,"Urban - Medium Density",FALSE
660,33,"Urban - High Density",FALSE
661,65,"Urban - High Density",FALSE
662,41,"Urban - Medium Density",FALSE
663,51,"Urban - High Density",TRUE
664,51,"Urban - High Density",FALSE
665,71,"Urban - High Density",TRUE
666,72,"Urban - Medium Density",TRUE
667,18,"Urban - Medium Density",TRUE
668,26,"Urban - High Density",TRUE
669,66,"Urban - Medium Density",FALSE
670,45,"Urban - Medium Density",FALSE
671,31,"Urban - Medium Density",TRUE
672,26,"Unknown",NA
673,37,"Urban - High Density",FALSE
674,32,"Urban - High Density",FALSE
675,20,"Rural",FALSE
676,77,"Rural",FALSE
677,50,"Urban - High Density",TRUE
678,37,"Urban - High Density",FALSE
679,78,"Unknown",FALSE
680,30,"Urban - High Density",FALSE
681,50,"Urban - Medium Density",TRUE
682,45,"Urban - Medium Density",FALSE
683,49,"Rural",FALSE
684,120,"Urban - Medium Density",TRUE
685,38,"Urban - Medium Density",TRUE
686,36,"Urban - High Density",TRUE
687,34,"Urban - High Density",FALSE
688,24,"Urban - High Density",TRUE
689,77,"Urban - High Density",FALSE
690,60,"Rural",TRUE
691,47,"Urban - High Density",NA
692,63,"Urban - Medium Density",TRUE
693,30,"Urban - High Density",TRUE
694,41,"Urban - Medium Density",TRUE
695,35,"Urban - Medium Density",FALSE
696,50,"Urban - High Density",TRUE
697,70,"Urban - High Density",TRUE
698,46,"Urban - High Density",FALSE
699,39,"Urban - High Density",FALSE
700,32,"Urban - Medium Density",FALSE
701,72,"Urban - Medium Density",TRUE
702,50,"Urban - High Density",TRUE
703,73,"Urban - High Density",TRUE
704,69,"Urban - High Density",TRUE
705,28,"Urban - High Density",FALSE
706,40,"Urban - Medium Density",FALSE
707,44,"Urban - High Density",FALSE
708,68,"Unknown",TRUE
709,31,"Rural",FALSE
710,56,"Rural",FALSE
711,24,"Urban - Medium Density",FALSE
712,52,"Urban - High Density",TRUE
713,69,"Urban - High Density",FALSE
714,39,"Urban - High Density",TRUE
715,29,"Urban - High Density",FALSE
716,45,"Urban - High Density",FALSE
717,77,"Urban - High Density",TRUE
718,55,"Urban - Medium Density",FALSE
719,54,"Urban - High Density",FALSE
720,29,"Urban - High Density",TRUE
721,63,"Urban - High Density",FALSE
722,80,"Urban - Medium Density",FALSE
723,38,"Urban - High Density",FALSE
724,41,"Rural",NA
725,61,"Rural",FALSE
726,38,"Urban - High Density",TRUE
727,78,"Urban - Medium Density",FALSE
728,36,"Urban - Medium Density",FALSE
729,54,"Urban - High Density",TRUE
730,60,"Urban - Medium Density",FALSE
731,62,"Rural",TRUE
732,61,"Unknown",TRUE
733,75,"Urban - Medium Density",TRUE
734,32,"Urban - High Density",FALSE
735,24,"Urban - Medium Density",TRUE
736,38,"Urban - High Density",NA
737,46,"Urban - High Density",TRUE
738,53,"Urban - High Density",FALSE
739,48,"Urban - High Density",TRUE
740,75,"Urban - High Density",TRUE
741,20,"Urban - High Density",TRUE
742,78,"Rural",FALSE
743,56,"Urban - Medium Density",TRUE
744,52,"Urban - High Density",TRUE
745,61,"Urban - Medium Density",TRUE
746,31,"Urban - High Density",FALSE
747,21,"Rural",FALSE
748,67,"Urban - Medium Density",FALSE
749,61,"Urban - High Density",FALSE
750,23,"Urban - High Density",NA
751,58,"Urban - High Density",TRUE
752,39,"Rural",TRUE
753,20,"Urban - Medium Density",FALSE
754,29,"Rural",TRUE
755,80,"",TRUE
756,19,"Urban - Medium Density",TRUE
757,50,"Urban - High Density",FALSE
758,25,"Urban - Medium Density",FALSE
759,27,"Rural",FALSE
760,63,"Unknown",TRUE
761,18,"Urban - High Density",TRUE
762,41,"Urban - Medium Density",TRUE
763,75,"Urban - High Density",FALSE
764,60,"Urban - High Density",TRUE
765,23,"Urban - High Density",TRUE
766,32,"Urban - Medium Density",TRUE
767,20,"Urban - High Density",TRUE
768,47,"Urban - Medium Density",TRUE
769,120,"Rural",FALSE
770,32,"Urban - High Density",TRUE
771,64,"Urban - Medium Density",TRUE
772,66,"Urban - Medium Density",TRUE
773,33,"Urban - Medium Density",TRUE
774,41,"Rural",TRUE
775,45,"Urban - Medium Density",FALSE
776,61,"Rural",TRUE
777,27,"",FALSE
778,71,"Urban - Medium Density",TRUE
779,5,"Urban - Medium Density",FALSE
780,63,"Urban - Medium Density",TRUE
781,67,"Urban - High Density",FALSE
782,22,"Urban - High Density",TRUE
783,25,"Urban - High Density",FALSE
784,51,"Urban - Medium Density",TRUE
785,23,"Urban - High Density",TRUE
786,64,"Urban - Medium Density",TRUE
