"transaction_id","client_id","produit_id","quantite","date_achat","paiement_valide","temps_livraison_jours","nom","saison","local","prix_unitaire","montant_total","age","region","prefere_produit_local"
38,1362,26,0,2023-06-02,TRUE,5,"Mango","Summer",TRUE,-1.79,0,41,"Urban - High Density",TRUE
39,1675,10,1,2023-11-19,TRUE,3,"Blueberry","Summer",FALSE,4.44,4.44,60,"Urban - High Density",FALSE
40,1987,10,-3,2023-06-08,TRUE,4,"Blueberry","Summer",FALSE,4.44,-13.32,69,"",FALSE
41,1862,2,10,2023-09-18,TRUE,2,"Grape","Unknown",TRUE,10.56,105.6,44,"Urban - High Density",NA
42,811,17,-3,2023-04-26,TRUE,2,"Pea","All Seasons",TRUE,-2.07,6.21,49,"Urban - High Density",TRUE
43,1263,30,4,2023-12-28,TRUE,6,"Lychee","All Seasons",TRUE,1.21,4.84,76,"Rural",TRUE
44,927,25,2,2023-05-25,TRUE,1,"Broccoli","All Seasons",TRUE,3.11,6.22,42,"Urban - High Density",FALSE
45,274,7,7,2023-04-24,FALSE,4,"Lettuce","Unknown",TRUE,8.68,60.76,71,"Urban - High Density",FALSE
46,818,35,1,2023-10-03,TRUE,50,"Hazelnut","All Seasons",TRUE,6.96,6.96,35,"Urban - High Density",FALSE
47,1448,25,7,2023-12-22,TRUE,4,"Broccoli","All Seasons",TRUE,3.11,21.77,79,"Rural",FALSE
48,98,19,10,2023-02-24,TRUE,50,"Banana","Winter",TRUE,-0.17,-1.7,35,"",TRUE
49,1949,19,10,2023-07-01,TRUE,3,"Banana","Winter",TRUE,-0.17,-1.7,36,"",FALSE
50,868,12,-3,2023-07-11,TRUE,4,"Banana","All Seasons",TRUE,10.29,-30.87,36,"Urban - Medium Density",TRUE
51,1675,44,1,2023-12-16,TRUE,3,"Apple","Summer",TRUE,9.24,9.24,60,"Urban - High Density",FALSE
52,391,30,-3,2023-11-28,TRUE,4,"Lychee","All Seasons",TRUE,1.21,-3.63,5,"Urban - Medium Density",TRUE
53,530,47,-3,2023-04-16,TRUE,3,"Mango","Summer",FALSE,2.32,-6.96,20,"Urban - High Density",FALSE
54,931,38,10,2023-02-06,TRUE,3,"Apricot","Summer",TRUE,8.8,88,34,"Urban - Medium Density",FALSE
55,826,11,1,2023-10-02,NA,3,"Strawberry","Summer",TRUE,5.35,5.35,66,"Urban - High Density",FALSE
56,1268,39,2,2023-07-25,TRUE,5,"Mango","All Seasons",TRUE,10.84,21.68,55,"Urban - Medium Density",TRUE
57,536,31,-3,2023-01-17,TRUE,7,"Chestnut","All Seasons",NA,0.13,-0.39,22,"Urban - Medium Density",TRUE
58,82,31,3,2023-11-01,TRUE,5,"Chestnut","All Seasons",NA,0.13,0.39,47,"Urban - Medium Density",NA
59,1235,40,3,2023-07-09,FALSE,1,"Orange","Winter",FALSE,3.87,11.61,120,"Urban - Medium Density",TRUE
60,1644,9,7,2023-05-01,TRUE,2,"Onion","Unknown",TRUE,5.01,35.07,47,"Urban - High Density",NA
61,512,49,4,2023-06-24,TRUE,3,"Cherry","Summer",NA,1.84,7.36,68,"Urban - Medium Density",NA
62,341,24,8,2023-05-22,TRUE,4,"Asparagus","Winter",FALSE,2.01,16.08,76,"Urban - Medium Density",FALSE
63,307,27,8,2023-06-08,TRUE,50,"Peach","Winter",TRUE,13.88,111.04,58,"Urban - High Density",FALSE
64,64,19,10,2023-12-12,FALSE,4,"Banana","Winter",TRUE,-0.17,-1.7,65,"Urban - Medium Density",FALSE
65,875,12,9,2023-06-01,TRUE,-2,"Banana","All Seasons",TRUE,10.29,92.61,36,"Urban - Medium Density",TRUE
66,345,18,10,2023-11-09,TRUE,4,"Apple","All Seasons",TRUE,14.07,140.7,49,"Urban - Medium Density",TRUE
67,1567,38,2,2023-04-21,TRUE,5,"Apricot","Summer",TRUE,8.8,17.6,78,"Urban - Medium Density",TRUE
68,1259,34,0,2023-02-02,FALSE,-2,"Celery","Winter",TRUE,5.77,0,27,"Urban - Medium Density",FALSE
69,1991,7,1,2023-09-02,TRUE,-2,"Lettuce","Unknown",TRUE,8.68,8.68,50,"Urban - High Density",TRUE
70,234,6,1,2023-05-05,TRUE,-2,"Walnut","Summer",TRUE,-3.25,-3.25,34,"Rural",FALSE
71,1642,5,9,2023-03-21,TRUE,2,"Apricot","Summer",FALSE,10.18,91.62,45,"Rural",FALSE
72,1839,30,9,2023-11-15,TRUE,6,"Lychee","All Seasons",TRUE,1.21,10.89,69,"Urban - High Density",FALSE
73,372,14,10,2023-07-06,TRUE,7,"Fig","Summer",TRUE,3.67,36.7,75,"Urban - High Density",TRUE
74,1666,49,1,2023-09-20,TRUE,2,"Cherry","Summer",NA,1.84,1.84,59,"Urban - Medium Density",FALSE
75,382,36,6,2023-07-26,NA,5,"Raspberry","Summer",TRUE,5.87,35.22,51,"Rural",TRUE
76,898,43,10,2023-10-20,TRUE,4,"Pear","Unknown",TRUE,4.62,46.2,50,"Urban - High Density",TRUE
77,1714,15,10,2023-07-11,TRUE,3,"Cabbage","All Seasons",FALSE,3.34,33.4,33,"Urban - Medium Density",TRUE
78,1478,4,5,2023-12-09,TRUE,-2,"Watermelon","Unknown",TRUE,12.08,60.4,78,"Urban - Medium Density",TRUE
79,1162,19,9,2023-11-08,TRUE,7,"Banana","Winter",TRUE,-0.17,-1.53,22,"Urban - High Density",TRUE
80,1574,18,2,2023-03-24,TRUE,6,"Apple","All Seasons",TRUE,14.07,28.14,38,"Urban - Medium Density",TRUE
81,681,16,5,2023-08-15,TRUE,6,"Chestnut","Summer",TRUE,3.39,16.95,50,"Urban - Medium Density",TRUE
82,1363,25,4,2023-10-20,TRUE,2,"Broccoli","All Seasons",TRUE,3.11,12.44,58,"Urban - Medium Density",TRUE
83,1117,36,1,2023-06-07,TRUE,7,"Raspberry","Summer",TRUE,5.87,5.87,71,"Urban - Medium Density",FALSE
84,1532,20,2,2023-12-03,TRUE,3,"Corn","All Seasons",TRUE,12.25,24.5,71,"Urban - High Density",TRUE
85,1413,13,8,2023-10-07,TRUE,50,"Cucumber","All Seasons",NA,8.17,65.36,28,"Urban - Medium Density",NA
86,1721,4,4,2023-05-03,TRUE,5,"Watermelon","Unknown",TRUE,12.08,48.32,65,"Urban - High Density",TRUE
87,1704,7,7,2023-03-29,FALSE,50,"Lettuce","Unknown",TRUE,8.68,60.76,38,"Urban - High Density",TRUE
88,1358,37,6,2023-03-11,TRUE,4,"Radish","Unknown",TRUE,7.32,43.92,20,"Urban - Medium Density",NA
89,1098,35,1,2023-08-11,TRUE,3,"Hazelnut","All Seasons",TRUE,6.96,6.96,72,"Urban - High Density",TRUE
90,611,49,2,2023-05-06,TRUE,-2,"Cherry","Summer",NA,1.84,3.68,39,"Urban - Medium Density",FALSE
91,760,10,6,2023-04-12,TRUE,5,"Blueberry","Summer",FALSE,4.44,26.64,63,"Unknown",TRUE
92,741,21,7,2023-10-26,TRUE,7,"Sweet Potato","All Seasons",TRUE,12.3,86.1,20,"Urban - High Density",TRUE
93,1503,28,7,2023-08-20,TRUE,2,"Raspberry","Unknown",TRUE,14.97,104.79,43,"Urban - High Density",FALSE
94,498,32,-3,2023-01-01,FALSE,7,"Raspberry","All Seasons",TRUE,12.49,-37.47,32,"Urban - High Density",TRUE
95,204,23,1,2023-01-13,TRUE,50,"Corn","Winter",FALSE,1.53,1.53,76,"Urban - Medium Density",TRUE
96,65,18,5,2023-12-09,TRUE,6,"Apple","All Seasons",TRUE,14.07,70.35,61,"Rural",TRUE
97,145,33,10,2023-01-07,TRUE,3,"Banana","All Seasons",TRUE,13.25,132.5,38,"Urban - High Density",TRUE
98,1551,17,4,2023-06-06,TRUE,4,"Pea","All Seasons",TRUE,-2.07,-8.28,63,"Urban - High Density",TRUE
99,723,43,9,2023-01-24,TRUE,4,"Pear","Unknown",TRUE,4.62,41.58,38,"Urban - High Density",FALSE
100,588,40,-3,2023-01-16,TRUE,-2,"Orange","Winter",FALSE,3.87,-11.61,31,"Rural",TRUE
101,387,10,2,2023-02-24,TRUE,7,"Blueberry","Summer",FALSE,4.44,8.88,68,"Urban - High Density",NA
102,103,8,2,2023-12-22,TRUE,5,"Garlic","Winter",TRUE,3.66,7.32,57,"Urban - Medium Density",TRUE
103,943,50,2,2023-05-27,TRUE,5,"Sweet Potato","Unknown",FALSE,1.01,2.02,55,"Urban - Medium Density",FALSE
104,1978,1,1,2023-06-13,FALSE,2,"Strawberry","Unknown",TRUE,4.42,4.42,71,"Urban - Medium Density",TRUE
105,1071,27,6,2023-11-04,TRUE,5,"Peach","Winter",TRUE,13.88,83.28,51,"Urban - High Density",TRUE
106,667,21,9,2023-08-20,TRUE,2,"Sweet Potato","All Seasons",TRUE,12.3,110.7,18,"Urban - Medium Density",TRUE
107,1119,36,8,2023-06-20,TRUE,-2,"Raspberry","Summer",TRUE,5.87,46.96,60,"Urban - Medium Density",FALSE
108,168,6,0,2023-08-17,FALSE,3,"Walnut","Summer",TRUE,-3.25,0,40,"Urban - Medium Density",TRUE
109,1220,6,3,2023-04-25,TRUE,-2,"Walnut","Summer",TRUE,-3.25,-9.75,48,"Rural",NA
110,1761,45,5,2023-02-13,TRUE,5,"Apricot","All Seasons",TRUE,7.43,37.15,50,"Urban - High Density",TRUE
111,273,37,0,2023-08-29,TRUE,50,"Radish","Unknown",TRUE,7.32,0,21,"Rural",FALSE
112,8,14,6,2023-06-21,TRUE,1,"Fig","Summer",TRUE,3.67,22.02,40,"",FALSE
113,148,19,8,2023-02-02,TRUE,4,"Banana","Winter",TRUE,-0.17,-1.36,5,"Rural",FALSE
114,351,38,5,2023-10-01,TRUE,50,"Apricot","Summer",TRUE,8.8,44,66,"Urban - Medium Density",TRUE
115,905,9,8,2023-10-28,TRUE,6,"Onion","Unknown",TRUE,5.01,40.08,20,"Rural",TRUE
116,1583,40,10,2023-01-15,TRUE,6,"Orange","Winter",FALSE,3.87,38.7,34,"Urban - High Density",TRUE
117,319,25,7,2023-01-12,TRUE,50,"Broccoli","All Seasons",TRUE,3.11,21.77,36,"Urban - High Density",TRUE
118,51,10,3,2023-10-17,TRUE,50,"Blueberry","Summer",FALSE,4.44,13.32,40,"Urban - High Density",TRUE
119,42,29,1,2023-04-14,TRUE,50,"Orange","Summer",FALSE,9.07,9.07,46,"Urban - High Density",NA
120,210,8,4,2023-12-02,TRUE,3,"Garlic","Winter",TRUE,3.66,14.64,56,"Urban - High Density",TRUE
121,826,20,3,2023-10-04,TRUE,2,"Corn","All Seasons",TRUE,12.25,36.75,66,"Urban - High Density",FALSE
122,1961,26,7,2023-08-12,FALSE,7,"Mango","Summer",TRUE,-1.79,-12.53,5,"Urban - High Density",TRUE
123,869,4,0,2023-03-24,TRUE,3,"Watermelon","Unknown",TRUE,12.08,0,77,"Urban - High Density",FALSE
124,856,45,2,2023-08-28,FALSE,3,"Apricot","All Seasons",TRUE,7.43,14.86,30,"Urban - High Density",TRUE
125,613,43,10,2023-12-20,TRUE,4,"Pear","Unknown",TRUE,4.62,46.2,30,"Urban - Medium Density",FALSE
126,1226,44,10,2023-02-13,TRUE,-2,"Apple","Summer",TRUE,9.24,92.4,25,"Urban - High Density",NA
127,1547,22,5,2023-12-24,TRUE,2,"Green Bean","All Seasons",FALSE,-4.21,-21.05,78,"Urban - High Density",TRUE
128,722,50,5,2023-05-19,FALSE,3,"Sweet Potato","Unknown",FALSE,1.01,5.05,80,"Urban - Medium Density",FALSE
129,575,10,0,2023-06-18,TRUE,2,"Blueberry","Summer",FALSE,4.44,0,37,"Urban - High Density",FALSE
130,83,2,10,2023-06-30,TRUE,4,"Grape","Unknown",TRUE,10.56,105.6,36,"Urban - High Density",TRUE
131,339,50,5,2023-02-24,TRUE,1,"Sweet Potato","Unknown",FALSE,1.01,5.05,64,"Urban - High Density",TRUE
132,1128,20,-3,2023-03-17,TRUE,6,"Corn","All Seasons",TRUE,12.25,-36.75,79,"Urban - High Density",TRUE
133,1783,10,3,2023-02-14,TRUE,50,"Blueberry","Summer",FALSE,4.44,13.32,75,"Urban - High Density",TRUE
134,1208,25,5,NA,TRUE,4,"Broccoli","All Seasons",TRUE,3.11,15.55,70,"Unknown",TRUE
135,1227,46,2,2023-04-21,TRUE,4,"Chestnut","All Seasons",TRUE,-4.08,-8.16,43,"Urban - High Density",FALSE
136,1323,27,4,2023-03-07,TRUE,1,"Peach","Winter",TRUE,13.88,55.52,55,"Urban - Medium Density",FALSE
137,894,43,5,2023-02-06,TRUE,6,"Pear","Unknown",TRUE,4.62,23.1,65,"Urban - Medium Density",FALSE
138,884,5,10,2023-10-06,TRUE,2,"Apricot","Summer",FALSE,10.18,101.8,24,"Rural",TRUE
139,1269,35,0,2023-02-13,FALSE,50,"Hazelnut","All Seasons",TRUE,6.96,0,74,"Urban - High Density",FALSE
140,545,38,0,2023-01-10,TRUE,3,"Apricot","Summer",TRUE,8.8,0,80,"Urban - High Density",FALSE
141,1838,42,7,2023-11-17,FALSE,7,"Pomegranate","Winter",TRUE,10.95,76.65,5,"Urban - High Density",TRUE
142,309,30,10,2023-01-29,TRUE,7,"Lychee","All Seasons",TRUE,1.21,12.1,76,"Urban - High Density",TRUE
143,361,5,6,2023-11-07,TRUE,1,"Apricot","Summer",FALSE,10.18,61.08,40,"Urban - High Density",TRUE
144,247,45,5,2023-09-25,TRUE,3,"Apricot","All Seasons",TRUE,7.43,37.15,43,"Urban - High Density",TRUE
145,320,44,4,2023-09-27,TRUE,5,"Apple","Summer",TRUE,9.24,36.96,72,"Urban - Medium Density",TRUE
146,1734,21,8,2023-03-23,TRUE,2,"Sweet Potato","All Seasons",TRUE,12.3,98.4,42,"Urban - High Density",FALSE
147,1041,41,-3,2023-07-16,TRUE,2,"Strawberry","Summer",TRUE,4.94,-14.82,61,"Rural",FALSE
148,1258,36,1,2023-08-31,TRUE,1,"Raspberry","Summer",TRUE,5.87,5.87,42,"Urban - High Density",FALSE
149,1711,23,10,2023-10-01,TRUE,4,"Corn","Winter",FALSE,1.53,15.3,23,"Urban - Medium Density",TRUE
150,689,17,0,2023-03-21,TRUE,7,"Pea","All Seasons",TRUE,-2.07,0,77,"Urban - High Density",FALSE
151,1352,3,7,2023-10-06,TRUE,2,"Raspberry","Unknown",FALSE,10.26,71.82,68,"Urban - High Density",TRUE
152,205,20,2,2023-10-10,TRUE,-2,"Corn","All Seasons",TRUE,12.25,24.5,54,"Urban - Medium Density",TRUE
153,1562,11,2,2023-11-10,TRUE,7,"Strawberry","Summer",TRUE,5.35,10.7,35,"Urban - Medium Density",TRUE
154,1838,7,8,2023-04-05,TRUE,6,"Lettuce","Unknown",TRUE,8.68,69.44,5,"Urban - High Density",TRUE
155,1717,22,5,2023-05-28,TRUE,4,"Green Bean","All Seasons",FALSE,-4.21,-21.05,49,"Urban - High Density",NA
156,1448,21,4,2023-02-10,TRUE,7,"Sweet Potato","All Seasons",TRUE,12.3,49.2,79,"Rural",FALSE
157,66,47,9,2023-10-14,TRUE,3,"Mango","Summer",FALSE,2.32,20.88,32,"Urban - High Density",TRUE
158,1483,28,10,2023-12-06,TRUE,5,"Raspberry","Unknown",TRUE,14.97,149.7,76,"Unknown",TRUE
159,1638,24,6,2023-07-16,TRUE,6,"Asparagus","Winter",FALSE,2.01,12.06,53,"Rural",TRUE
160,589,23,-3,2023-06-30,TRUE,-2,"Corn","Winter",FALSE,1.53,-4.59,67,"Urban - High Density",TRUE
161,1742,8,5,2023-07-23,TRUE,50,"Garlic","Winter",TRUE,3.66,18.3,58,"Urban - High Density",TRUE
162,1575,25,3,2023-01-13,TRUE,-2,"Broccoli","All Seasons",TRUE,3.11,9.33,31,"Rural",FALSE
163,267,6,6,2023-12-27,TRUE,3,"Walnut","Summer",TRUE,-3.25,-19.5,23,"Urban - Medium Density",FALSE
164,1532,48,3,2023-03-11,TRUE,3,"Blueberry","Winter",TRUE,0.78,2.34,71,"Urban - High Density",TRUE
165,1963,6,5,2023-01-24,TRUE,3,"Walnut","Summer",TRUE,-3.25,-16.25,27,"Unknown",TRUE
166,1143,31,0,2023-08-01,TRUE,6,"Chestnut","All Seasons",NA,0.13,0,65,"Urban - High Density",TRUE
167,156,21,3,2023-11-08,TRUE,5,"Sweet Potato","All Seasons",TRUE,12.3,36.9,56,"Rural",TRUE
168,81,33,-3,2023-10-05,TRUE,-2,"Banana","All Seasons",TRUE,13.25,-39.75,39,"Urban - High Density",FALSE
169,348,5,2,2023-04-16,TRUE,7,"Apricot","Summer",FALSE,10.18,20.36,44,"Urban - High Density",FALSE
170,1705,15,-3,2023-08-30,TRUE,5,"Cabbage","All Seasons",FALSE,3.34,-10.02,69,"Urban - High Density",TRUE
171,949,14,9,2023-03-30,TRUE,50,"Fig","Summer",TRUE,3.67,33.03,29,"Urban - High Density",FALSE
172,609,25,1,2023-08-22,TRUE,2,"Broccoli","All Seasons",TRUE,3.11,3.11,59,"Urban - High Density",FALSE
173,1269,16,-3,2023-02-01,TRUE,6,"Chestnut","Summer",TRUE,3.39,-10.17,74,"Urban - High Density",FALSE
174,1013,29,0,2023-02-10,TRUE,4,"Orange","Summer",FALSE,9.07,0,80,"Urban - Medium Density",TRUE
175,949,2,6,2023-12-20,TRUE,6,"Grape","Unknown",TRUE,10.56,63.36,29,"Urban - High Density",FALSE
176,1075,10,2,2023-06-25,TRUE,1,"Blueberry","Summer",FALSE,4.44,8.88,48,"Rural",FALSE
177,1751,21,-3,2023-01-24,TRUE,2,"Sweet Potato","All Seasons",TRUE,12.3,-36.9,44,"Urban - High Density",FALSE
178,1734,40,8,2023-08-25,TRUE,6,"Orange","Winter",FALSE,3.87,30.96,42,"Urban - High Density",FALSE
179,1798,31,3,2023-01-26,TRUE,5,"Chestnut","All Seasons",NA,0.13,0.39,78,"Rural",TRUE
180,1842,14,-3,2023-03-01,TRUE,3,"Fig","Summer",TRUE,3.67,-11.01,54,"Urban - High Density",TRUE
181,292,31,9,2023-04-01,TRUE,50,"Chestnut","All Seasons",NA,0.13,1.17,75,"Rural",TRUE
182,1526,22,0,2023-11-17,TRUE,3,"Green Bean","All Seasons",FALSE,-4.21,0,50,"Urban - High Density",FALSE
183,1957,12,2,2023-05-01,TRUE,3,"Banana","All Seasons",TRUE,10.29,20.58,56,"Rural",FALSE
184,1950,17,7,2023-12-28,TRUE,50,"Pea","All Seasons",TRUE,-2.07,-14.49,46,"Rural",TRUE
185,737,13,5,2023-10-17,TRUE,-2,"Cucumber","All Seasons",NA,8.17,40.85,46,"Urban - High Density",TRUE
186,854,21,-3,2023-03-24,TRUE,-2,"Sweet Potato","All Seasons",TRUE,12.3,-36.9,67,"Urban - High Density",FALSE
187,948,39,3,2023-09-11,TRUE,5,"Mango","All Seasons",TRUE,10.84,32.52,49,"Rural",TRUE
188,1481,22,-3,2023-08-31,TRUE,5,"Green Bean","All Seasons",FALSE,-4.21,12.63,23,"Urban - High Density",TRUE
189,1256,43,10,2023-05-04,TRUE,-2,"Pear","Unknown",TRUE,4.62,46.2,20,"Urban - High Density",TRUE
190,1154,10,1,2023-07-10,TRUE,-2,"Blueberry","Summer",FALSE,4.44,4.44,45,"Urban - High Density",TRUE
191,1107,6,3,2023-12-01,TRUE,50,"Walnut","Summer",TRUE,-3.25,-9.75,59,"Urban - High Density",TRUE
192,727,22,2,2023-12-08,TRUE,5,"Green Bean","All Seasons",FALSE,-4.21,-8.42,78,"Urban - Medium Density",FALSE
193,704,13,3,2023-04-10,TRUE,1,"Cucumber","All Seasons",NA,8.17,24.51,69,"Urban - High Density",TRUE
194,999,12,1,2023-11-06,TRUE,4,"Banana","All Seasons",TRUE,10.29,10.29,42,"Urban - High Density",FALSE
195,455,4,9,2023-11-29,TRUE,50,"Watermelon","Unknown",TRUE,12.08,108.72,39,"Urban - Medium Density",NA
196,329,50,4,2023-08-10,TRUE,4,"Sweet Potato","Unknown",FALSE,1.01,4.04,64,"Unknown",TRUE
197,1944,24,1,2023-05-16,TRUE,2,"Asparagus","Winter",FALSE,2.01,2.01,74,"Urban - Medium Density",FALSE
198,1875,32,0,2023-12-07,TRUE,7,"Raspberry","All Seasons",TRUE,12.49,0,56,"Urban - High Density",FALSE
199,302,23,2,2023-07-27,TRUE,50,"Corn","Winter",FALSE,1.53,3.06,63,"Urban - High Density",FALSE
200,1302,15,6,2023-01-07,TRUE,5,"Cabbage","All Seasons",FALSE,3.34,20.04,19,"Urban - High Density",TRUE
201,1555,31,10,2023-12-13,TRUE,7,"Chestnut","All Seasons",NA,0.13,1.3,62,"Urban - Medium Density",TRUE
202,429,4,10,2023-05-22,TRUE,2,"Watermelon","Unknown",TRUE,12.08,120.8,5,"Rural",FALSE
203,1908,12,1,2023-01-28,TRUE,3,"Banana","All Seasons",TRUE,10.29,10.29,71,"Rural",TRUE
204,1929,1,1,2023-08-05,TRUE,2,"Strawberry","Unknown",TRUE,4.42,4.42,56,"Rural",TRUE
205,1770,27,4,2023-11-30,TRUE,1,"Peach","Winter",TRUE,13.88,55.52,19,"Urban - High Density",TRUE
206,682,40,3,2023-01-12,TRUE,50,"Orange","Winter",FALSE,3.87,11.61,45,"Urban - Medium Density",FALSE
207,1248,2,0,2023-11-11,TRUE,5,"Grape","Unknown",TRUE,10.56,0,39,"Urban - Medium Density",FALSE
208,804,50,-3,2023-02-22,TRUE,5,"Sweet Potato","Unknown",FALSE,1.01,-3.03,56,"Urban - High Density",FALSE
209,523,47,8,2023-05-21,TRUE,6,"Mango","Summer",FALSE,2.32,18.56,77,"Urban - High Density",FALSE
210,172,19,8,2023-04-08,TRUE,2,"Banana","Winter",TRUE,-0.17,-1.36,33,"Urban - High Density",FALSE
211,1560,5,5,2023-01-05,TRUE,4,"Apricot","Summer",FALSE,10.18,50.9,37,"Urban - High Density",FALSE
212,62,11,6,2023-08-24,TRUE,7,"Strawberry","Summer",TRUE,5.35,32.1,23,"Urban - Medium Density",FALSE
213,1508,24,7,2023-02-04,TRUE,7,"Asparagus","Winter",FALSE,2.01,14.07,35,"Urban - High Density",FALSE
214,509,14,4,2023-01-05,TRUE,50,"Fig","Summer",TRUE,3.67,14.68,33,"Urban - High Density",TRUE
215,312,3,4,2023-05-22,TRUE,5,"Raspberry","Unknown",FALSE,10.26,41.04,49,"Urban - Medium Density",TRUE
216,1843,39,2,2023-10-16,TRUE,2,"Mango","All Seasons",TRUE,10.84,21.68,60,"Rural",TRUE
217,470,46,0,2023-03-31,TRUE,2,"Chestnut","All Seasons",TRUE,-4.08,0,47,"Urban - High Density",FALSE
218,1483,22,4,2023-10-18,TRUE,4,"Green Bean","All Seasons",FALSE,-4.21,-16.84,76,"Unknown",TRUE
219,894,16,2,2023-10-01,TRUE,-2,"Chestnut","Summer",TRUE,3.39,6.78,65,"Urban - Medium Density",FALSE
220,369,46,9,2023-03-09,TRUE,2,"Chestnut","All Seasons",TRUE,-4.08,-36.72,46,"Urban - High Density",FALSE
221,678,24,7,2023-08-31,TRUE,7,"Asparagus","Winter",FALSE,2.01,14.07,37,"Urban - High Density",FALSE
